loggingTime(txt),loggingSample(N),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa)
2018-07-05 14:59:00.947 -0400,1,1530817138.859889,40.738712042998,-73.97722370241516,11.48885,-1,-1,10,65,-9999,2794.279448041667,0.4490509033203125,0.847503662109375,-0.3683319091796875,2794.264525041667,0.7851455991182043,0.8517933731876187,-0.9581654713900956,-0.1395687162876129,-0.1885930746793747,0.01982647925615311,0.03155148029327393,0.02695471048355103,0.001806259155273438,XArbitraryZVertical,-0.5281117558479309,0.1781391203403473,0.1332140266895294,0.8195228576660156,0.4326819479465485,0.818138062953949,-0.3787288665771484,2792.933344625,stationary,0,2018-07-05 14:58:59.317 -0400,2018-07-05 13:09:05.896 -0400,67,4.391837,0,0,47.38,0,0,2018-07-05 14:58:50.421 -0400,552509940.3485602,0,4.1,102.4454
2018-07-05 14:59:01.182 -0400,2,1530817138.859889,40.738712042998,-73.97722370241516,11.48885,-1,-1,10,65,-9999,2794.314238041667,0.4257659912109375,0.8348236083984375,-0.37109375,2794.264525041667,0.7851455991182043,0.8517933731876187,-0.9581654713900956,-0.1395687162876129,-0.1885930746793747,0.01982647925615311,0.03155148029327393,0.02695471048355103,0.001806259155273438,XArbitraryZVertical,-0.5281117558479309,0.1781391203403473,0.1332140266895294,0.8195228576660156,0.4326819479465485,0.818138062953949,-0.3787288665771484,2792.933344625,stationary,0,2018-07-05 14:58:59.317 -0400,2018-07-05 13:09:05.896 -0400,67,4.391837,0,0,47.38,0,0,2018-07-05 14:58:50.421 -0400,552509940.3485602,0,4.1,102.4454
2018-07-05 14:59:01.205 -0400,3,1530817138.859889,40.738712042998,-73.97722370241516,11.48885,-1,-1,10,65,-9999,2794.349059041667,0.4388580322265625,0.8328704833984375,-0.368499755859375,2794.324187041667,0.7938629226987843,0.8555367285807758,-0.9609702243391678,0.07799436897039413,0.1037341132760048,0.02281840704381466,-0.002171576023101807,0.02580291032791138,0.0007069706916809082,XArbitraryZVertical,-0.5300784111022949,0.176682785153389,0.1350909769535065,0.8182601928710938,0.4323625862598419,0.8197476267814636,-0.375600129365921,2792.933344625,stationary,0,2018-07-05 14:58:59.317 -0400,2018-07-05 13:09:05.896 -0400,67,4.391837,0,0,47.38,0,0,2018-07-05 14:58:50.421 -0400,552509940.3485602,0,4.1,102.4454
2018-07-05 14:59:01.251 -0400,4,1530817138.859889,40.738712042998,-73.97722370241516,11.48885,-1,-1,10,65,-9999,2794.383849041667,0.43182373046875,0.7856292724609375,-0.382904052734375,2794.324187041667,0.7938629226987843,0.8555367285807758,-0.9609702243391678,0.07799436897039413,0.1037341132760048,0.02281840704381466,-0.002171576023101807,0.02580291032791138,0.0007069706916809082,XArbitraryZVertical,-0.5300784111022949,0.176682785153389,0.1350909769535065,0.8182601928710938,0.4323625862598419,0.8197476267814636,-0.375600129365921,2792.933344625,stationary,0,2018-07-05 14:58:59.317 -0400,2018-07-05 13:09:05.896 -0400,67,4.391837,0,0,47.38,0,0,2018-07-05 14:58:50.421 -0400,552509940.3485602,0,4.1,102.4454
2018-07-05 14:59:01.277 -0400,5,1530817138.859889,40.738712042998,-73.97722370241516,11.48885,-1,-1,10,65,-9999,2794.418669041667,0.4311370849609375,0.8177642822265625,-0.37109375,2794.383849041667,0.7807840885242601,0.8465202202067243,-0.9572401304611652,0.06958186626434326,-0.04464097321033478,-0.04751993715763092,-0.000901639461517334,-0.02953493595123291,0.0005400776863098145,XArbitraryZVertical,-0.5270609855651855,0.1773515939712524,0.1330472528934479,0.8203964233398438,0.4312452673912048,0.8176056146621704,-0.3815062642097473,2792.933344625,stationary,0,2018-07-05 14:58:59.317 -0400,2018-07-05 13:09:05.896 -0400,67,4.391837,0,0,47.38,0,0,2018-07-05 14:58:50.421 -0400,552509940.3485602,0,4.1,102.4454
2018-07-05 14:59:01.283 -0400,6,1530817138.859889,40.738712042998,-73.97722370241516,11.48885,-1,-1,10,65,-9999,2794.453490041667,0.433135986328125,0.819732666015625,-0.3749542236328125,2794.443541041667,0.7761229798806716,0.8404883959703394,-0.9559695874667488,0.1187908500432968,-0.001062870374880731,-0.01082770340144634,0.005821704864501953,0.002843976020812988,0.01229572296142578,XArbitraryZVertical,-0.525816798210144,0.1764087677001953,0.1330366730690002,0.8213992714881897,0.4297099113464355,0.8168733716011047,-0.3847932815551758,2792.933344625,stationary,0,2018-07-05 14:58:59.317 -0400,2018-07-05 13:09:05.896 -0400,67,4.391837,0,0,47.38,0,0,2018-07-05 14:58:50.421 -0400,552509940.3485602,0,4.1,102.4454
2018-07-05 14:59:01.292 -0400,7,1530817138.859889,40.738712042998,-73.97722370241516,11.48885,-1,-1,10,65,-9999,2794.488280041667,0.430419921875,0.8095245361328125,-0.388671875,2794.443541041667,0.7761229798806716,0.8404883959703394,-0.9559695874667488,0.1187908500432968,-0.001062870374880731,-0.01082770340144634,0.005821704864501953,0.002843976020812988,0.01229572296142578,XArbitraryZVertical,-0.525816798210144,0.1764087677001953,0.1330366730690002,0.8213992714881897,0.4297099113464355,0.8168733716011047,-0.3847932815551758,2792.933344625,stationary,0,2018-07-05 14:58:59.317 -0400,2018-07-05 13:09:05.896 -0400,67,4.391837,0,0,47.38,0,0,2018-07-05 14:58:50.421 -0400,552509940.3485602,0,4.1,102.4454
2018-07-05 14:59:01.332 -0400,8,1530817138.859889,40.738712042998,-73.97722370241516,11.48885,-1,-1,10,65,-9999,2794.523101041667,0.43084716796875,0.81829833984375,-0.385711669921875,2794.503203041667,0.7661904355496963,0.8324187665500035,-0.9517989618817569,0.09512969106435776,-0.01917343027889729,-0.01096518710255623,0.004274040460586548,-0.002494692802429199,-0.001979589462280273,XArbitraryZVertical,-0.5229830145835876,0.1766918450593948,0.1320945024490356,0.8232969641685486,0.4291060864925385,0.8144606351852417,-0.3905375301837921,2792.933344625,stationary,0,2018-07-05 14:58:59.317 -0400,2018-07-05 13:09:05.896 -0400,67,4.391837,0,0,47.38,0,0,2018-07-05 14:58:50.421 -0400,552509940.3485602,0,4.1,102.4454
2018-07-05 14:59:01.384 -0400,9,1530817138.859889,40.738712042998,-73.97722370241516,11.48885,-1,-1,10,65,-9999,2794.557891041667,0.427337646484375,0.8090057373046875,-0.37701416015625,2794.503203041667,0.7661904355496963,0.8324187665500035,-0.9517989618817569,0.09512969106435776,-0.01917343027889729,-0.01096518710255623,0.004274040460586548,-0.002494692802429199,-0.001979589462280273,XArbitraryZVertical,-0.5229830145835876,0.1766918450593948,0.1320945024490356,0.8232969641685486,0.4291060864925385,0.8144606351852417,-0.3905375301837921,2792.933344625,stationary,0,2018-07-05 14:58:59.317 -0400,2018-07-05 13:09:05.896 -0400,67,4.391837,0,0,47.38,0,0,2018-07-05 14:58:50.421 -0400,552509940.3485602,0,4.1,102.4454
2018-07-05 14:59:01.392 -0400,10,1530817138.859889,40.738712042998,-73.97722370241516,11.48885,-1,-1,10,65,-9999,2794.592711041667,0.420684814453125,0.7895355224609375,-0.3854522705078125,2794.562865041667,0.7607098143741806,0.8250037711564131,-0.950448429591693,-0.00790257565677166,-0.07439673691987991,-0.03304226323962212,0.0003314018249511719,-0.004670560359954834,0.0174405574798584,XArbitraryZVertical,-0.5215471386909485,0.1753887087106705,0.1321028620004654,0.8244844079017639,0.4270062446594238,0.8136762380599976,-0.3944547772407532,2792.933344625,stationary,0,2018-07-05 14:58:59.317 -0400,2018-07-05 13:09:05.896 -0400,67,4.391837,0,0,47.38,0,0,2018-07-05 14:58:50.421 -0400,552509940.3485602,0,4.1,102.4454
